Tulu Comment,Sentiment,Cleaned_Comment
"Park atmosphere yedde calm ittnd, baidina pooragulu enjoy malter.",positive,park atmosphere yedde calm ittnd baidina pooragulu enjoy malter
Singer voice awesome ittnd performance la super. ,positive,singer voice awesome ittnd performance la super
"overall cinema average undu, neutral feel and",neutral,overall cinema average undu neutral feel and
Holi colours mast  low quality itta skin allergy aand. ,negative,holi colours mast  low quality itta skin allergy aand
"hero na acting average ithend, impress atiji",negative,hero na acting average ithend impress atiji
Festive queue okay okay ittnd waiting manageable ittnd. ,neutral,festive queue okay okay ittnd waiting manageable ittnd
headache avare karana undu,negative,headache avare karana undu
aye chur over malde ,negative,aye chur over malde
time pass goskara tupini nothing special,neutral,time pass goskara tupini nothing special
script baji waste undu,negative,script baji waste undu
overall simple undu ,neutral,overall simple undu
Ice cream da flavour mast yedde ittnd cone la mast crunchy ittnd. ,positive,ice cream da flavour mast yedde ittnd cone la mast crunchy ittnd
Pest control spray mast useless ittnd insects poora pothiji. ,negative,pest control spray mast useless ittnd insects poora pothiji
Phone da sound quality clear undu calls smoothly malpoli.,positive,phone da sound quality clear undu calls smoothly malpoli
motivation matra laik korte,positive,motivation matra laik korte
visuals matra laik undu,positive,visuals matra laik undu
Art exhibition laik ittnd paintings mata mast  interesting itta. ,positive,art exhibition laik ittnd paintings mata mast  interesting itta
Train correct time g battnd boka journey la yedde smooth ittnd. ,positive,train correct time g battnd boka journey la yedde smooth ittnd
Accessory shop d items okay okay itta aanda collection limited ittnd. ,neutral,accessory shop d items okay okay itta aanda collection limited ittnd
mast efforts padijer but ok undu,neutral,mast efforts padijer but ok undu
anna undu kammi hype korpund,negative,anna undu kammi hype korpund
background music matra waste,negative,background music matra waste
villain da acting matra next level undu,positive,villain da acting matra next level undu
Local mela toilets mast dirty itta hygiene mast narakka ittnd. ,negative,local mela toilets mast dirty itta hygiene mast narakka ittnd
Park da atmosphere yedde peaceful ittnd kaande da walk mast yedde ittnd. ,positive,park da atmosphere yedde peaceful ittnd kaande da walk mast yedde ittnd
Housing loan process smooth d aand nana party malpoli. ,positive,housing loan process smooth d aand nana party malpoli
climax matra full twist undu,positive,climax matra full twist undu
Tea da taste normal ittnd aath strong ittji.,neutral,tea da taste normal ittnd aath strong ittji
nett dala posa unique scene ittiji ,neutral,nett dala posa unique scene ittiji
Bank da staff mast rude itter yenna enquiry g chur la help maldijer. ,negative,bank da staff mast rude itter yenna enquiry g chur la help maldijer
"action repeat ithend, orginality ijji",negative,action repeat ithend orginality ijji
yannada neutral response undu,neutral,yannada neutral response undu
climax twist matra super undu,positive,climax twist matra super undu
Hotel staff mast rude itter checkin malpanaga mast late aand.,negative,hotel staff mast rude itter checkin malpanaga mast late aand
Car battery dead aad mast inconvenience aand. ,negative,car battery dead aad mast inconvenience aand
Movie da songs mast melodius ad itta audience poora clap malter. ,positive,movie da songs mast melodius ad itta audience poora clap malter
netta story line matra average undu,neutral,netta story line matra average undu
yank song matra mast ishta and,positive,yank song matra mast ishta and
Electrician mast late batte wiring la complete maldije.,negative,electrician mast late batte wiring la complete maldije
movie avergae unduya aatth dala ittiji,neutral,movie avergae unduya aatth dala ittiji
background score matra toppp undu,positive,background score matra toppp undu
Gym da equipment poora new ittnd trainer la yedde help malder. ,positive,gym da equipment poora new ittnd trainer la yedde help malder
Doll da dress quality yedde ittji mast bega tear aand. ,negative,doll da dress quality yedde ittji mast bega tear aand
undu movie ok ok lakka ittend,neutral,undu movie ok ok lakka ittend
Music app playlist okay okay ittnd aanda song collection limited ittnd. ,neutral,music app playlist okay okay ittnd aanda song collection limited ittnd
undu matra flop a andh,negative,undu matra flop a andh
undu baji weak twist mare ,negative,undu baji weak twist mare
undu ok ok undu,neutral,undu ok ok undu
Website da speed okay okay ittnd load time la average ittnd. ,neutral,website da speed okay okay ittnd load time la average ittnd
Juicer filter mast weak ittnd mast pulp waste avond ittnd.,negative,juicer filter mast weak ittnd mast pulp waste avond ittnd
Online class system yeddde ittnd anda internet mast lag avond ittind. ,neutral,online class system yeddde ittnd anda internet mast lag avond ittind
Doctor dalpa checkup bega aand explanation la mast clear aad koryer.,positive,doctor dalpa checkup bega aand explanation la mast clear aad koryer
hero boka heroin da jodi laik undu,positive,hero boka heroin da jodi laik undu
Seminar da topics okay okay itta kelav boring la itta. ,neutral,seminar da topics okay okay itta kelav boring la itta
Swiggy order cancel aand refund la mast late battnd.,negative,swiggy order cancel aand refund la mast late battnd
Football ground okay okay ittnd grass mast uneven ittnd. ,neutral,football ground okay okay ittnd grass mast uneven ittnd
Diwali market lights mast beautiful itta stalls mata full of energy itta. ,positive,diwali market lights mast beautiful itta stalls mata full of energy itta
song da lyrics matra sakath undu,positive,song da lyrics matra sakath undu
boss ee level up maltana and,positive,boss ee level up maltana and
Shopping site nakalna delivery fast ittnd product la genuine ittnd. ,positive,shopping site nakalna delivery fast ittnd product la genuine ittnd
undu nana neutral undu andh and,neutral,undu nana neutral undu andh and
undu average undu ok ok panaoli,neutral,undu average undu ok ok panaoli
"heroine acting weak ithend, emmotion ijji",negative,heroine acting weak ithend emmotion ijji
"Phone heating problem jasti avond ittnd, gaming g mast banga avondh ittind.",negative,phone heating problem jasti avond ittnd gaming g mast banga avondh ittind
story mast weak lakka feel and,negative,story mast weak lakka feel and
Car wash mast neat ittnd boka fast la malter.,positive,car wash mast neat ittnd boka fast la malter
Online payment successful end battnd aanda message late battini. ,neutral,online payment successful end battnd aanda message late battini
Mixer grinder da performance okay okay ittnd chutney la average.,neutral,mixer grinder da performance okay okay ittnd chutney la average
movie matra sakath undu,positive,movie matra sakath undu
climax matra sakat ittend full crazy,positive,climax matra sakat ittend full crazy
Service center da staff mast careless itter yenna problem la fix maltijer. ,negative,service center da staff mast careless itter yenna problem la fix maltijer
"music just ok ithend, neutral feel ",neutral,music just ok ithend neutral feel
close friends nottu share malpod and andya,neutral,close friends nottu share malpod and andya
Cat litter da smell mast narakka ittnd cleaning chur la effective ittji. ,negative,cat litter da smell mast narakka ittnd cleaning chur la effective ittji
song eg onji onji beats undu crazy undu,positive,song eg onji onji beats undu crazy undu
"Park yedde clean ittnd, jokul mast enjoy malter. ",positive,park yedde clean ittnd jokul mast enjoy malter
cinema feel good ithend recommend malpuve,positive,cinema feel good ithend recommend malpuve
"Restaurant seat booking d enano problem ittnd, nama mast time kathonditta.",negative,restaurant seat booking d enano problem ittnd nama mast time kathonditta
undu idea matra top undu,positive,undu idea matra top undu
unden tunda headache start apund,negative,unden tunda headache start apund
camera angles matra amazing undu,positive,camera angles matra amazing undu
acting matra super undu,positive,acting matra super undu
"dialouges normal ithend, dala wow ijji",neutral,dialouges normal ithend dala wow ijji
climax next level ittend twist antu super,positive,climax next level ittend twist antu super
hotel da bathroom yeddde ittji mast smell barond ittnd,negative,hotel da bathroom yeddde ittji mast smell barond ittnd
full movie neutral flow ittend,neutral,full movie neutral flow ittend
Online shopping site okay ittnd anda product time g battnd. ,neutral,online shopping site okay ittnd anda product time g battnd
ayena acting mast over apund,negative,ayena acting mast over apund
"story narration smooth ithend, liked",positive,story narration smooth ithend liked
dialogues matra crazy ittend ayena,positive,dialogues matra crazy ittend ayena
bro performance matra super undu ava,positive,bro performance matra super undu ava
Hair oil da effect average ittnd aat daala growth athiji.,neutral,hair oil da effect average ittnd aat daala growth athiji
Podcast sound quality aat yedde ittji mast noisy ittnd. ,negative,podcast sound quality aat yedde ittji mast noisy ittnd
Flight da service yedde neat aad ittnd staff la mast polite itter. ,positive,flight da service yedde neat aad ittnd staff la mast polite itter
Camping setup neat ittnd staff la mast friendly itter. ,positive,camping setup neat ittnd staff la mast friendly itter
Biscuit da quality okay okay ittnd sweetness chur kammi aand.,neutral,biscuit da quality okay okay ittnd sweetness chur kammi aand
City tour guide okay okay itte information repeat maltonditte.,neutral,city tour guide okay okay itte information repeat maltonditte
Handicraft mela stalls mast interesting itta mast unique items mata itta. ,positive,handicraft mela stalls mast interesting itta mast unique items mata itta
story simple ithend matra heart eg touch and,positive,story simple ithend matra heart eg touch and
Metro ticket booking easy ittnd machine la fast ittnd. ,positive,metro ticket booking easy ittnd machine la fast ittnd
visuals matra crazy undu bro ,positive,visuals matra crazy undu bro
Apartment facilities mast yedde itta security la tight ittnd.,positive,apartment facilities mast yedde itta security la tight ittnd
Concert sound system fail aand audience g mast disappointment aand. ,negative,concert sound system fail aand audience g mast disappointment aand
Pantry facilities average itta aanda tea okay ittnd. ,neutral,pantry facilities average itta aanda tea okay ittnd
Shooting game sound effects mast powerful itta experience yedde realistic ittnd. ,positive,shooting game sound effects mast powerful itta experience yedde realistic ittnd
"camera work clean ithend, impress aye",positive,camera work clean ithend impress aye
"climax mast drag malther, dull and",negative,climax mast drag malther dull and
Municipality park maintenance mast neat ittnd jokul yedde enjoy malter.,positive,municipality park maintenance mast neat ittnd jokul yedde enjoy malter
Metro service okay okay ittnd aanda mast crowded ittnd. ,neutral,metro service okay okay ittnd aanda mast crowded ittnd
camera angle matra mind blowing undu,positive,camera angle matra mind blowing undu
Printing shop service mast quick ittnd quality la yedde und mast . ,positive,printing shop service mast quick ittnd quality la yedde und mast
Coaching teacher yedde clearly explain malder aik subject kalpareg la mast easy aand. ,positive,coaching teacher yedde clearly explain malder aik subject kalpareg la mast easy aand
onji super video nik insta d share malde tula,positive,onji super video nik insta d share malde tula
Office lift breakdown aad mast delay aand. ,negative,office lift breakdown aad mast delay aand
Mobile app mast crash avond ittnd login malpareg mast problem aand.,negative,mobile app mast crash avond ittnd login malpareg mast problem aand
wow undu mind blowing undu bro,positive,wow undu mind blowing undu bro
undu acting matra cring ittend,negative,undu acting matra cring ittend
Mall da ambience mast yedde ittnd aanda parking tikkareg onchoor banga aand. ,neutral,mall da ambience mast yedde ittnd aanda parking tikkareg onchoor banga aand
Chocolate bar mast tasty ittnd mast smoothly melt aand. ,positive,chocolate bar mast tasty ittnd mast smoothly melt aand
ayena acting tood mast connecting feel and,positive,ayena acting tood mast connecting feel and
Festival bazaar energy mast high ittnd aanda crowd manage malpareg banga aand. ,neutral,festival bazaar energy mast high ittnd aanda crowd manage malpareg banga aand
movie matra mast emotional ittend,positive,movie matra mast emotional ittend
Apartment swimming pool yedde clean ittnd jokul yedde enjoy malter. ,positive,apartment swimming pool yedde clean ittnd jokul yedde enjoy malter
dialogues normal ittend dala over ittiji,neutral,dialogues normal ittend dala over ittiji
PG washroom narakka ittnd water la time time g matra barpini.,negative,pg washroom narakka ittnd water la time time g matra barpini
undu video chur low quality undu,negative,undu video chur low quality undu
Floor cleaner da smell mast strong ittnd yenk headache avareg suru aand.,negative,floor cleaner da smell mast strong ittnd yenk headache avareg suru aand
"TV da picture quality super und, sound clarity la yedde und.",positive,tv da picture quality super und sound clarity la yedde und
HR staff mast polite itter problem bega solve malter.,positive,hr staff mast polite itter problem bega solve malter
Vet doctor mast caring itter treatment bega aand. ,positive,vet doctor mast caring itter treatment bega aand
"villian na role decent ithend, jasti impact ithiji",neutral,villian na role decent ithend jasti impact ithiji
Coffee da tasste normal ye undu daala special ijji. ,neutral,coffee da tasste normal ye undu daala special ijji
Bank SMS alerts okay ittnd aanda frequently barond ittnd.,neutral,bank sms alerts okay ittnd aanda frequently barond ittnd
"Bike design yedde stylish und,ride malpareg la smooth apund.",positive,bike design yedde stylish undride malpareg la smooth apund
undu average category barpund ya,neutral,undu average category barpund ya
music matra saik undu,positive,music matra saik undu
Badminton shuttle okay okay ittnd speed mast inconsistent ittnd.,neutral,badminton shuttle okay okay ittnd speed mast inconsistent ittnd
"villian overact malthe, irritating and",negative,villian overact malthe irritating and
vibe matra ok itend,neutral,vibe matra ok itend
lyrics matra emotional ittend heart touch and,positive,lyrics matra emotional ittend heart touch and
chur matra overacting undu,negative,chur matra overacting undu
hero da performance mast energetic ittend,positive,hero da performance mast energetic ittend
"Hotel bari clean ittnd, staff yedde polite itter.",positive,hotel bari clean ittnd staff yedde polite itter
Training session da content normal ittnd aath dala special ittiji. ,neutral,training session da content normal ittnd aath dala special ittiji
Pet bed mast comfortable ittnd. ,positive,pet bed mast comfortable ittnd
"dialouges fine ithend, normal",neutral,dialouges fine ithend normal
comedy da timing antu top notch,positive,comedy da timing antu top notch
Microwave heating feature yedde fast undu food hot hot barpundu.,positive,microwave heating feature yedde fast undu food hot hot barpundu
average acting matra,neutral,average acting matra
dala tovareg ijjida undu movie toovoli,neutral,dala tovareg ijjida undu movie toovoli
netta scenes matra saik ittend,positive,netta scenes matra saik ittend
content matra yepala lovely bro ,positive,content matra yepala lovely bro
neutal ittend aath dala vibe korutji,neutral,neutal ittend aath dala vibe korutji
"song beat catchy ithend, repeat malpuve ",positive,song beat catchy ithend repeat malpuve
Painter na bele mast professional ittnd walls yedde bright tojond itta. ,positive,painter na bele mast professional ittnd walls yedde bright tojond itta
visuals matra next level sakath edit malder,positive,visuals matra next level sakath edit malder
ayena acting mast irritate apund,negative,ayena acting mast irritate apund
costume da color matra crazy undu ,positive,costume da color matra crazy undu
"Parcel maldina food poora cold ittnd, experience yedde ittiji.",negative,parcel maldina food poora cold ittnd experience yedde ittiji
TV serial okay okay ittnd aanda story mast drag malter. ,neutral,tv serial okay okay ittnd aanda story mast drag malter
Fantasy game world building mast creative ittnd characters mast strong itta. ,positive,fantasy game world building mast creative ittnd characters mast strong itta
yannada unique content undu,positive,yannada unique content undu
screenplay normal casual undu,neutral,screenplay normal casual undu
Parcel da box full damage ad ittnd yenna item la worst condition d ittnd. ,negative,parcel da box full damage ad ittnd yenna item la worst condition d ittnd
Coffee da aroma mast fresh aad ittnd taste la baari smooth ittnd. ,positive,coffee da aroma mast fresh aad ittnd taste la baari smooth ittnd
Hill station roads mast dangerous itta so travelling mast difficult aand.,negative,hill station roads mast dangerous itta so travelling mast difficult aand
villain da entry matra fire ittend,positive,villain da entry matra fire ittend
Dunzo delivery incomplete ittnd kelav items la missing itta. ,negative,dunzo delivery incomplete ittnd kelav items la missing itta
Soap da fragrance okay okay ittnd aat strong ittji. ,neutral,soap da fragrance okay okay ittnd aat strong ittji
Dumbbell da coating weak ittnd mast bega peel aand. ,negative,dumbbell da coating weak ittnd mast bega peel aand
Musical evening mast soothing ittnd singers na voice yedde clear ittnd.,positive,musical evening mast soothing ittnd singers na voice yedde clear ittnd
Beach visit average ittnd aanda sunset mast yedde ittnd.,neutral,beach visit average ittnd aanda sunset mast yedde ittnd
undu kali normal und,neutral,undu kali normal und
Packaged juice near expiry ittnd mast disappointment aand. ,negative,packaged juice near expiry ittnd mast disappointment aand
songs matra repeat malted kenga and apund so nice,positive,songs matra repeat malted kenga and apund so nice
hero da body matra crazy undu,positive,hero da body matra crazy undu
okay and panoli ,neutral,okay and panoli
Folk music show mast lively ittnd atmosphere yedde gammath ittnd.,positive,folk music show mast lively ittnd atmosphere yedde gammath ittnd
nett kandapade shouting ittend,negative,nett kandapade shouting ittend
Esports tournament management mast yedde ittnd live stream la smooth ittnd. ,positive,esports tournament management mast yedde ittnd live stream la smooth ittnd
"song matra smooth undu , gadi gadi repeat malted kenga and apund",positive,song matra smooth undu  gadi gadi repeat malted kenga and apund
"content rich ithend, felt good",positive,content rich ithend felt good
Handmade diya designs mast creative itta price la reasonable ittnd. ,positive,handmade diya designs mast creative itta price la reasonable ittnd
Mobile game ads okay okay itta aanda onchoor irritate aand.,neutral,mobile game ads okay okay itta aanda onchoor irritate aand
Gym d equipment poora new new ittnd anda trainer aath helpful ittije. ,neutral,gym d equipment poora new new ittnd anda trainer aath helpful ittije
dialogue delivery matra crazy undu,positive,dialogue delivery matra crazy undu
Curtain da quality average ittnd aanda colour mast laik ittnd. ,neutral,curtain da quality average ittnd aanda colour mast laik ittnd
dialogues matra baji boor undu,negative,dialogues matra baji boor undu
"heroine average ithol, normal performance ithend",neutral,heroine average ithol normal performance ithend
Saree da design mast beautiful ittnd rate la mast reasonable ittnd.,positive,saree da design mast beautiful ittnd rate la mast reasonable ittnd
"full family entertainment ithend, nenapug barpund",positive,full family entertainment ithend nenapug barpund
madyad chur negative energy ittini lakka feel and,negative,madyad chur negative energy ittini lakka feel and
"visual effects cheap ithend ya, catroon feel bathend",negative,visual effects cheap ithend ya catroon feel bathend
comment section gammat undu,neutral,comment section gammat undu
dance performance matra top class undu,positive,dance performance matra top class undu
dialogues kennaga yedde kick korpund,positive,dialogues kennaga yedde kick korpund
Cinema washroom mast dirty ittnd smell la barond ittnd. ,negative,cinema washroom mast dirty ittnd smell la barond ittnd
super motivation kortund bro,positive,super motivation kortund bro
"movie ok ok ithend, not bad",neutral,movie ok ok ithend not bad
Oven baking mast perfect aad cake mast fluffy ittnd. ,positive,oven baking mast perfect aad cake mast fluffy ittnd
Club music mast energetic ittnd crowd yedde enjoy malter. ,positive,club music mast energetic ittnd crowd yedde enjoy malter
acting matra top class undu,positive,acting matra top class undu
hero acting matra super,positive,hero acting matra super
Baby lotion average ittnd aanda hydration mast time ittnd.,neutral,baby lotion average ittnd aanda hydration mast time ittnd
best part climax undu,positive,best part climax undu
Gym da AC work avond ittji workout malpareg mast uncomfortable aand.,negative,gym da ac work avond ittji workout malpareg mast uncomfortable aand
anna mindblowing undu,positive,anna mindblowing undu
Rice cooker performance sari ittnd aanda size mast small aand. ,neutral,rice cooker performance sari ittnd aanda size mast small aand
"movie super la ijji flop la ijji, ok ithend",neutral,movie super la ijji flop la ijji ok ithend
New kurta color yedde shiny ittnd poorakul compliment koryer. ,positive,new kurta color yedde shiny ittnd poorakul compliment koryer
acting ath dala laik ittiji,negative,acting ath dala laik ittiji
Builder na work neat ittnd finishing la impressive ittnd. ,positive,builder na work neat ittnd finishing la impressive ittnd
Electricity staff mast polite itter complaint bega solve malter . ,positive,electricity staff mast polite itter complaint bega solve malter
comedy timings matra crazy ittend,positive,comedy timings matra crazy ittend
undu matra ok ok  undu,neutral,undu matra ok ok  undu
Mattress mast comfortable aad ittnd yedde nidre battnd. ,positive,mattress mast comfortable aad ittnd yedde nidre battnd
runtime jasti feel and sumar booring parts ittend,negative,runtime jasti feel and sumar boring parts ittend
"super edit bro , salute",positive,super edit bro  salute
Customer care nakul polite itter query bega solve malter. ,positive,customer care nakul polite itter query bega solve malter
Physiotherapy center okay okay ittnd aanda recovery slow aand. ,neutral,physiotherapy center okay okay ittnd aanda recovery slow aand
"comedy fine ithend, chur laugh",neutral,comedy fine ithend chur laugh
undu chur overmakeup andya,negative,undu chur overmakeup andya
Stand-up comedy mast funny ittnd hall d ittina pooragulu teltonditter. ,positive,standup comedy mast funny ittnd hall d ittina pooragulu teltonditter
Movie climax yeth emotional ittin panda yaan bulpare churu.,positive,movie climax yeth emotional ittin panda yaan bulpare churu
editing neat ithend matra simple,neutral,editing neat ithend matra simple
Fish fry yedde crispy aad ittnd masala la full tasty.,positive,fish fry yedde crispy aad ittnd masala la full tasty
Laptop da design mast sleek ittnd performance la super fast. ,positive,laptop da design mast sleek ittnd performance la super fast
Gaming headset sound mast poor ittnd mic la work avond ittji. ,negative,gaming headset sound mast poor ittnd mic la work avond ittji
bro undu baji nonsense video bro,negative,bro undu baji nonsense video bro
undu ok ok undu fine andh panoli,neutral,undu ok ok undu fine andh panoli
but yank matra video feel korond ittiji,negative,but yank matra video feel korond ittiji
climax matra ok ok undu,neutral,climax matra ok ok undu
Bus conductor mast rude itte change ye kortije. ,negative,bus conductor mast rude itte change ye kortije
Toy train mast smooth run avond ittnd sound la mast cute ittnd.,positive,toy train mast smooth run avond ittnd sound la mast cute ittnd
Shirt da fitting perfect ittnd fabric la yedde soft ittnd.,positive,shirt da fitting perfect ittnd fabric la yedde soft ittnd
Delivery timing late aand ait ittina box la damage aad ittnd. ,negative,delivery timing late aand ait ittina box la damage aad ittnd
Jacket da zip break aand yenk mast bejar aand. ,negative,jacket da zip break aand yenk mast bejar aand
"mast talent show malther, hats off",positive,mast talent show malther hats off
"Cinema da comedy scenes mast funny itta, hall d ittina pooragul teltonditter. ",positive,cinema da comedy scenes mast funny itta hall d ittina pooragul teltonditter
Soft drink d fizz jasti ittji taste flat ittnd. ,negative,soft drink d fizz jasti ittji taste flat ittnd
vibe okish undu not bad but not good,neutral,vibe okish undu not bad but not good
Online exam da portal mast smooth ittnd chur la lag athiji. ,positive,online exam da portal mast smooth ittnd chur la lag athiji
"villan na role strong ithend ya, strong presence",positive,villan na role strong ithend ya strong presence
songs matra saik addictive undu bro,positive,songs matra saik addictive undu bro
undu acting matra over undu waste,negative,undu acting matra over undu waste
undu chur old style anda andhed,negative,undu chur old style anda andhed
"action scenes realistic ithend ya, like malthe yan",positive,action scenes realistic ithend ya like malthe yan
heroine da performance top class,positive,heroine da performance top class
yank barpund but av cringe undu,negative,yank barpund but av cringe undu
Online class system mast yedde ittnd video lag la athiji. ,positive,online class system mast yedde ittnd video lag la athiji
"movie balance ithend, mast story",neutral,movie balance ithend mast story
story ok ok scenes predict malpun lakka ittend,negative,story ok ok scenes predict malpun lakka ittend
message matra great ittend full inspiration kornd,positive,message matra great ittend full inspiration kornd
music mast fresh undu beats topp,positive,music mast fresh undu beats top
"screenplay average ithend, worked",neutral,screenplay average ithend worked
"hero na acting yede ithend, hatsoff",positive,hero na acting yede ithend hatsoff
music matra yedde malder,positive,music matra yedde malder
acting matra satya perfect undu,positive,acting matra satya perfect undu
comment section matra jasti undu,neutral,comment section matra jasti undu
edit skills matra next level undu,positive,edit skills matra next level undu
"negative role tuvare highlighting ithend, like and",positive,negative role tuvare highlighting ithend like and
Online multiplayer match okay okay ittnd aanda onchoor lag la ittnd.,neutral,online multiplayer match okay okay ittnd aanda onchoor lag la ittnd
kuda tuya anda fresh ittend,positive,kuda tuya anda fresh ittend
story normal ok ok undu,neutral,story normal ok ok undu
dance choreography mind blowing undu,positive,dance choreography mind blowing undu
yenk bore and intrest la ejji,negative,yenk bore and intrest la ejji
Sports club membership okay okay und activities kammi ulla.,neutral,sports club membership okay okay und activities kammi ulla
ATM d 100rs notes ittiji onchur inconvience aand. ,negative,atm d rs notes ittiji onchur inconvience aand
Electricity mast frequently cut maltond itter mast inconvenience aand. ,negative,electricity mast frequently cut maltond itter mast inconvenience aand
Local bazaar prices mast fair itta bargaining malpareg easy aand. ,positive,local bazaar prices mast fair itta bargaining malpareg easy aand
Credit card offers mast yedde itta cashback yedde use aand.,positive,credit card offers mast yedde itta cashback yedde use aand
Bike mileage mast fast undu pickup la super undu.,positive,bike mileage mast fast undu pickup la super undu
Tennis racket mast lightweight ittnd control malpareg mast easy aand.,positive,tennis racket mast lightweight ittnd control malpareg mast easy aand
Meeting room projector fail aand speaker g mast inconvenience aand. ,negative,meeting room projector fail aand speaker g mast inconvenience aand
