Tulu Comment,Sentiment,Cleaned_Comment
Bike service mast smooth ittnd engine sound la yedde soft ittnd. ,positive,bike service mast smooth ittnd engine sound la yedde soft ittnd
Gas cylinder delivery mast fast ittnd staff la yedde polite itter.,positive,gas cylinder delivery mast fast ittnd staff la yedde polite itter
yan mast enjoy malthe movie tudh,positive,yan mast enjoy malthe movie tudh
simple but sweet undu,positive,simple but sweet undu
Cinema staff mast polite itter service la bega bega koryer.,positive,cinema staff mast polite itter service la bega bega koryer
"Coffee taste baari shok ittnd, worth it.",positive,coffee taste baari shok ittnd worth it
Park experience okay okay ittnd greenary la normal ittnd. ,neutral,park experience okay okay ittnd greenary la normal ittnd
Public library experience average ittnd collection limited ittnd.,neutral,public library experience average ittnd collection limited ittnd
Helmet quality okay okay ittnd straps loose itta. ,neutral,helmet quality okay okay ittnd straps loose itta
Petrol quality mast poor ittnd engine knocking start aand.,negative,petrol quality mast poor ittnd engine knocking start aand
PG rent moderate ittnd facilities la okay okay. ,neutral,pg rent moderate ittnd facilities la okay okay
Repair service daye mast careless itte problem kuda battnd. ,negative,repair service daye mast careless itte problem kuda battnd
yank mast emotional feel and tood best ittend,positive,yank mast emotional feel and tood best ittend
News app da interface mast simple ittnd use malpareg la full comfortable ittnd. ,positive,news app da interface mast simple ittnd use malpareg la full comfortable ittnd
nett pura scenes flop undu,negative,nett pura scenes flop undu
Bike da mileage mast kammi athnd.,negative,bike da mileage mast kammi athnd
"action scenes fake ithend, laugh boiduji",negative,action scenes fake ithend laugh boiduji
Paneer da curry d salt kammi aad bland ittnd. ,negative,paneer da curry d salt kammi aad bland ittnd
videoed matra full enjoyment undu,positive,videoed matra full enjoyment undu
"yenk ista and, yede editing",positive,yenk ista and yede editing
Air cooler d malla tank ittnd cooling mast yedde avond ittnd.,positive,air cooler d malla tank ittnd cooling mast yedde avond ittnd
climax matra chur booring undu,negative,climax matra chur boring undu
movie tood mast inspire and,positive,movie tood mast inspire and
Delivery boy careless itte yenna item full break aand. ,negative,delivery boy careless itte yenna item full break aand
"cinema tuvare inspiration ithend, super",positive,cinema tuvare inspiration ithend super
not bad but not good movie,neutral,not bad but not good movie
Gaming app battery drain malondittnd aik phone mast heat avondittnd. ,negative,gaming app battery drain malondittnd aik phone mast heat avondittnd
Volleyball net yedde strong und match gobbareg gammath aand.,positive,volleyball net yedde strong und match gobbareg gammath aand
"screenplay slow ithend, yawning barond undu",negative,screenplay slow ithend yawning barond undu
undu matra neutral feel korpund,neutral,undu matra neutral feel korpund
Mixer grinder da sound mast kirikiri ittnd yenna kebi poora bene aand.,negative,mixer grinder da sound mast kirikiri ittnd yenna kebi poora bene aand
undu movie normal vibes korpund,neutral,undu movie normal vibes korpund
Cycle seat comfort average ittnd ride la manageable ittnd. ,neutral,cycle seat comfort average ittnd ride la manageable ittnd
New toy mast bega break aand money waste aand. ,negative,new toy mast bega break aand money waste aand
acting skills matra super ittend,positive,acting skills matra super ittend
Concert d crowd sing malpanaga goosebumps battnd. ,positive,concert d crowd sing malpanaga goosebumps battnd
Gamepad buttons yedde responsive itta gameplay la smooth ittnd.,positive,gamepad buttons yedde responsive itta gameplay la smooth ittnd
undu dialgoue chur flop undu,negative,undu dialgoue chur flop undu
yank tunaga chur irritation apund matra,negative,yank tunaga chur irritation apund matra
acting chur la prejan ijji,negative,acting chur la prejan ijji
net scene matra chur udda undu,negative,net scene matra chur udda undu
Car AC weak ittnd ancha cooling mast slow aand.,negative,car ac weak ittnd ancha cooling mast slow aand
undu fine andh panoli,neutral,undu fine andh panoli
yank undu average lakka feel andya,neutral,yank undu average lakka feel andya
Cycling helmet quality okay ittnd aanda size perfect ittnd. ,positive,cycling helmet quality okay ittnd aanda size perfect ittnd
Yoga mat da grip mast strong ittnd exercise malpareg mast easy aand.,positive,yoga mat da grip mast strong ittnd exercise malpareg mast easy aand
Zomato order wrong ittnd onji item missing ittnd. ,negative,zomato order wrong ittnd onji item missing ittnd
Mobile battery life yedde ijji kali onji dinog matra last apini. ,negative,mobile battery life yedde ijji kali onji dinog matra last apini
Body lotion da effect okay okay ittnd hydration mast time g ittji. ,neutral,body lotion da effect okay okay ittnd hydration mast time g ittji
Theatre d play acting strong ittnd dialogues mata mast emotional itta . ,positive,theatre d play acting strong ittnd dialogues mata mast emotional itta
climax matra full crazy undu,positive,climax matra full crazy undu
Carpenter na finish mast smooth ittnd furniture yeddde stylish tojond ittnd.,positive,carpenter na finish mast smooth ittnd furniture yeddde stylish tojond ittnd
App login d issue barondittnd aik password accept athiji.,negative,app login d issue barondittnd aik password accept athiji
average feel barpund matra,neutral,average feel barpund matra
costmes boka screenplay sexy undu,positive,costmes boka screenplay sexy undu
Meditation session mast relaxing ittnd crowd la full calm aad itter. ,positive,meditation session mast relaxing ittnd crowd la full calm aad itter
bgm matra super und scenes eg match apund,positive,bgm matra super und scenes eg match apund
undu aath dala engaging ittijiya,negative,undu aath dala engaging ittijiya
Cab ride mast fast ittnd route la kammi ittnd. ,positive,cab ride mast fast ittnd route la kammi ittnd
"comedy scenes light hearted ithend, liked",positive,comedy scenes light hearted ithend liked
"story jasti undu, average level",neutral,story jasti undu average level
"hero style forced ithend, cringe la ithend",negative,hero style forced ithend cringe la ithend
Construction delay mast aand ancha handover malpanaga la late aand. ,negative,construction delay mast aand ancha handover malpanaga la late aand
undu baji pottu script,negative,undu baji pottu script
dala bele ijjida tuvareg apund,neutral,dala bele ijjida tuvareg apund
Nail polish da quality aat yedde ittji mast bega peel aand. ,negative,nail polish da quality aat yedde ittji mast bega peel aand
Carpenter na shelf design yedde ittnd storage mast use aand. ,positive,carpenter na shelf design yedde ittnd storage mast use aand
Zomato discount mast helpful ittnd bill la mast kammi aand.,positive,zomato discount mast helpful ittnd bill la mast kammi aand
undu movie aath dala hype korpuji ok ok undu,negative,undu movie aath dala hype korpuji ok ok undu
camera work matra super ittendya,positive,camera work matra super ittendya
story matra ok undu ath dala ittiji,neutral,story matra ok undu ath dala ittiji
Groceries delivery on-time ittnd freshness la yedde ittnd. ,positive,groceries delivery ontime ittnd freshness la yedde ittnd
"cimax eg logic ye ejji, nonsense",negative,cimax eg logic ye ejji nonsense
Bank da service ath yedde ittiji aanda bele complete aand. ,neutral,bank da service ath yedde ittiji aanda bele complete aand
"movie average ithend, ticket da worth itijji",negative,movie average ithend ticket da worth itijji
Resort booking mast messy ittnd room la ready ittji. ,negative,resort booking mast messy ittnd room la ready ittji
undu telike matra fake undu,negative,undu telike matra fake undu
song matra smooth undu ,positive,song matra smooth undu
Water tanker service mast yedde ittnd delivery on time ittnd. ,positive,water tanker service mast yedde ittnd delivery on time ittnd
acting matra yedde undu,positive,acting matra yedde undu
anna ayena style mind blowing undu,positive,anna ayena style mind blowing undu
mass performance undu bro,positive,mass performance undu bro
shots mast laik geider,positive,shots mast laik geider
Music festival da facilities yedde ittji toilets mast dirty itta.,negative,music festival da facilities yedde ittji toilets mast dirty itta
"direction careless ithend, disappointed",negative,direction careless ithend disappointed
Bike tyre mast sari puncture avond ittnd quality yedde ittji.,negative,bike tyre mast sari puncture avond ittnd quality yedde ittji
Shopping mall mast malla ittnd aanda crowd jasti aand. ,neutral,shopping mall mast malla ittnd aanda crowd jasti aand
Printer service okay okay ittnd aanda speed onchoor slow aand. ,neutral,printer service okay okay ittnd aanda speed onchoor slow aand
Delivery boy polite itte packaging la neat ittnd.,positive,delivery boy polite itte packaging la neat ittnd
bro undu matra waste ava,negative,bro undu matra waste ava
undu scene ok ok ittend,neutral,undu scene ok ok ittend
App download fast aand features la mast laik boka helpful ulla. ,positive,app download fast aand features la mast laik boka helpful ulla
undu matra chur irritating undu,negative,undu matra chur irritating undu
"overall cinema yedde ithend, worth watching",positive,overall cinema yedde ithend worth watching
video matra cute undya,positive,video matra cute undya
Bus late battini wait malpareg mast boring ittnd. ,negative,bus late battini wait malpareg mast boring ittnd
"time pass undu, but aath worst ijji",neutral,time pass undu but aath worst ijji
"music forgettable ithend, songs la hit ijji",negative,music forgettable ithend songs la hit ijji
undu timepass malpre ok undu,neutral,undu timepass malpre ok undu
Fan motor sound perfect ittnd yedde nidre malde. ,positive,fan motor sound perfect ittnd yedde nidre malde
VR headset d problem ittnd visuals blurry itta. ,negative,vr headset d problem ittnd visuals blurry itta
Gaming mouse click d problem ittnd so gaming onchoor inconvenient aand,neutral,gaming mouse click d problem ittnd so gaming onchoor inconvenient aand
Face cream mast smooth ittnd skin da glow baari laik ittnd. ,positive,face cream mast smooth ittnd skin da glow baari laik ittnd
undu baji boring song ,negative,undu baji boring song
Movie da story mast weak ittnd climax la full boring. ,negative,movie da story mast weak ittnd climax la full boring
Traffic jam mast narakka ittnd 1 hour delay aand. ,negative,traffic jam mast narakka ittnd  hour delay aand
undu chur heart touching story ittend,positive,undu chur heart touching story ittend
"dialouges cringe ithend, mast drama and",negative,dialouges cringe ithend mast drama and
Mall cinema da popcorn mast expensive ittnd chur la worth ijji. ,negative,mall cinema da popcorn mast expensive ittnd chur la worth ijji
dialgoues mast powerfull ittend,positive,dialgoues mast powerfull ittend
kannada rap matra next level ittendya,positive,kannada rap matra next level ittendya
climax matra booring ittend,negative,climax matra boring ittend
undu chr childish andh feel and,negative,undu chr childish andh feel and
Post office experience okay ittnd aanda crowd jasti itter. ,neutral,post office experience okay ittnd aanda crowd jasti itter
"background score flat ithend, feel itiji",negative,background score flat ithend feel itiji
Dosa okay okay ittnd aanda chutney average ittnd. ,neutral,dosa okay okay ittnd aanda chutney average ittnd
Workshop d knowledge sharing okay okay ittnd aanda practical part mast kammi aand.,neutral,workshop d knowledge sharing okay okay ittnd aanda practical part mast kammi aand
story da flow matra neutral undu,neutral,story da flow matra neutral undu
Plastic chair da quality average ittnd colour onchoor fade aad ittnd. ,neutral,plastic chair da quality average ittnd colour onchoor fade aad ittnd
pura agala acting matra superb undu,positive,pura agala acting matra super undu
Concert ticket rate jasti aand ath worth ijji.,negative,concert ticket rate jasti aand ath worth ijji
Vacuum cleaner suction average ittnd dust fully clean maltiji.,neutral,vacuum cleaner suction average ittnd dust fully clean maltiji
Console game story okay ittnd aanda graphics neat itta.,neutral,console game story okay ittnd aanda graphics neat itta
Restaurant da bill mast jasti aand service la aath worth ittji. (,negative,restaurant da bill mast jasti aand service la aath worth ittji
Online course da inteface yedde smooth boa user friendly ittnd. ,positive,online course da inteface yedde smooth boa user friendly ittnd
Dog collar design mast average ittnd aanda size perfect ittnd.,neutral,dog collar design mast average ittnd aanda size perfect ittnd
Fairground d rides mast gammath itta kids yedde enjoy malter. ,positive,fairground d rides mast gammath itta kids yedde enjoy malter
time pass malpare ok undu,neutral,time pass malpare ok undu
background music matra saik udnu entry eg  match apund,positive,background music matra saik udnu entry eg  match apund
one time tuvareg ok ,neutral,one time tuvareg ok
Car polish finish okay okay ittnd chur shine ittnd. ,neutral,car polish finish okay okay ittnd chur shine ittnd
"Ice cream da taste mast fresh ittind, yenk mast khushi aand. ",positive,ice cream da taste mast fresh ittind yenk mast khushi aand
"Delivery g kathondulle, mast late aand.",negative,delivery g kathondulle mast late aand
"Food okay okay, ath special dala ittji.",neutral,food okay okay ath special dala ittji
middle chur booring undu bro,negative,middle chur boring undu bro
"story predictable ithend, twist ithiji",negative,story predictable ithend twist ithiji
Festival food stalls okay okay itta taste la average ittnd. ,neutral,festival food stalls okay okay itta taste la average ittnd
Loan interest rate mast jasti ittnd aath affordable ittji.,negative,loan interest rate mast jasti ittnd aath affordable ittji
villain na acting matra super,positive,villain na acting matra super
Metro station yedde clean ittnd escalator la sari work avond ittnd. ,positive,metro station yedde clean ittnd escalator la sari work avond ittnd
Office AC yedde ittji room mast hot aand. ,negative,office ac yedde ittji room mast hot aand
Shopping mall d parking tikkare banga aand but ulay shops matha yedde itta.,neutral,shopping mall d parking tikkare banga aand but ulay shops matha yedde itta
Juice packet mast watery ittnd fruit da taste ye ittji. ,negative,juice packet mast watery ittnd fruit da taste ye ittji
nett mast overacting scenes undu,negative,nett mast overacting scenes undu
performance matra next level unduya,positive,performance matra next level unduya
Hair straightening service baji narakka ittnd money waste aand.,negative,hair straightening service baji narakka ittnd money waste aand
Iron box mast heavy ittnd handle mast inconvenient ittnd.,negative,iron box mast heavy ittnd handle mast inconvenient ittnd
Scooter ride mast comfortable ittnd mileage la decent und.,positive,scooter ride mast comfortable ittnd mileage la decent und
anna acting matra sakath malde,positive,anna acting matra sakath malde
undu song kennaga yank kuda vara kenga and apund,positive,undu song kennaga yank kuda vara kenga and apund
Multiplex ambience yedde classy ittnd screen la bright aad quality yedde ittnd. ,positive,multiplex ambience yedde classy ittnd screen la bright aad quality yedde ittnd
"performance natural ithend, hats off team",positive,performance natural ithend hats off team
heroine performance ok ok ithend,neutral,heroine performance ok ok ithend
video average undu boss,neutral,video average undu boss
Mall da facilities laik ittnd aanda crowd jasti aand. ,neutral,mall da facilities laik ittnd aanda crowd jasti aand
Online insurance purchase malpuna procedure mast simple ittnd bega la aand. ,positive,online insurance purchase malpuna procedure mast simple ittnd bega la aand
conent matra neutral undu,neutral,conent matra neutral undu
Hotel da room mast dirty ittnd aitha mitt bedsheet la narakka ittnd. ,negative,hotel da room mast dirty ittnd aitha mitt bedsheet la narakka ittnd
dance crazy undya,positive,dance crazy undya
song addictive undu bro,positive,song addictive undu bro
undu waste of time undu bro,negative,undu waste of time undu bro
movie simple mathrala beautifull undu,positive,movie simple mathrala beautifull undu
"Park da walking track yedde clean ittnd, walk g pod yedde fresh la aand.",positive,park da walking track yedde clean ittnd walk g pod yedde fresh la aand
undu song baji flop and,negative,undu song baji flop and
simple eg ok ok undu,neutral,simple eg ok ok undu
"cinema neutral ithend, mala impression ijji",neutral,cinema neutral ithend mala impression ijji
Software installation fail avond ittnd same error gadi gadi barond ittnnd.,negative,software installation fail avond ittnd same error gadi gadi barond ittnnd
netta climax matra boring undu,negative,netta climax matra boring undu
Apartment parking okay okay ittnd aanda mast limited space ittnd. ,neutral,apartment parking okay okay ittnd aanda mast limited space ittnd
overall ok andh panoli,neutral,overall ok andh panoli
Coffee maker da design mast neat ittnd taste la yedde ittnd.,positive,coffee maker da design mast neat ittnd taste la yedde ittnd
average undu time pass malpreg apund,neutral,average undu time pass malpreg apund
Gaming d graphics mast super ittnd boka sound effects la mast laik itta.,positive,gaming d graphics mast super ittnd boka sound effects la mast laik itta
undu song matra useless,negative,undu song matra useless
undu chur overhype malter mogul,negative,undu chur overhype malter mogul
undu quality matra top notch undya,positive,undu quality matra top notch undya
"movie super bro, acting mind blowing ittend",positive,movie super bro acting mind blowing ittend
acting emotional undu full goosebumps,positive,acting emotional undu full goosebumps
Water supply okay okay ittnd fixed timing ittnd.,neutral,water supply okay okay ittnd fixed timing ittnd
editing matra saik undu next level,positive,editing matra saik undu next level
Park benches average itta comfort aath ittji.,neutral,park benches average itta comfort aath ittji
bgm matra sakath crazy ittend,positive,bgm matra sakath crazy ittend
Train seat comfortable ittnd aanda toilet average ittnd. ,neutral,train seat comfortable ittnd aanda toilet average ittnd
hero na performance tuvare best ithend,positive,hero na performance tuvare best ithend
"song la decent ithend, mast catchy ijji",neutral,song la decent ithend mast catchy ijji
editor matra mast mistake malde kelav kade mic pura tojund,negative,editor matra mast mistake malde kelav kade mic pura tojund
Coworking mast noisy ittnd focus malpareg athiji. ,negative,coworking mast noisy ittnd focus malpareg athiji
time pass video andh feel and,neutral,time pass video andh feel and
song da energy matra sakat undu,positive,song da energy matra sakat undu
Gas stove da burner mast weak ittnd aik flame sari barondittiji. ,negative,gas stove da burner mast weak ittnd aik flame sari barondittiji
Movie timings mismatch aad tickets confirm athiji. ,negative,movie timings mismatch aad tickets confirm athiji
Electricity bill wrong ittnd correction mast late aand. ,negative,electricity bill wrong ittnd correction mast late aand
Detergent da smell yedde fresh ittnd clothes mata yedde shine avond itta. ,positive,detergent da smell yedde fresh ittnd clothes mata yedde shine avond itta
movie ok and panoli atth intresting ittiji,neutral,movie ok and panoli atth intresting ittiji
Exhibition stalls okay okay itta kelav items interesting ittnd. ,neutral,exhibition stalls okay okay itta kelav items interesting ittnd
Auto fare reasonable ittnd driver la yedde itter. ,positive,auto fare reasonable ittnd driver la yedde itter
Handbag da quality mast yedde ittnd design la full stylish ittnd. ,positive,handbag da quality mast yedde ittnd design la full stylish ittnd
Car audio system sound mast clear ittnd base la strong ittnd. ,positive,car audio system sound mast clear ittnd base la strong ittnd
"move boring ithend ya, time waste and",negative,move boring ithend ya time waste and
Bus correct time g battinait journey la yeddde smooth aand. ,positive,bus correct time g battinait journey la yeddde smooth aand
yank undu time waste matra,negative,yank undu time waste matra
undu movie laik ijji skip malpule,negative,undu movie laik ijji skip malpule
just average storyline panoli,neutral,just average storyline panoli
Pressure cooker sari work aand anda design mast simple aand. ,neutral,pressure cooker sari work aand anda design mast simple aand
Chapati yedde sift ittnd aanda curry onchoor oily aand. ,neutral,chapati yedde sift ittnd aanda curry onchoor oily aand
Cat toy da quality okay okay ittnd aanda bega break aand. ,neutral,cat toy da quality okay okay ittnd aanda bega break aand
Biscuit packaging yedde neat ittnd freshness la yedde ittnd.,positive,biscuit packaging yedde neat ittnd freshness la yedde ittnd
dance da energy matra saik ittend,positive,dance da energy matra saik ittend
undu chur headache korpund,negative,undu chur headache korpund
climax twist matra super undu,positive,climax twist matra super undu
acting matra ayena realistic undu,positive,acting matra ayena realistic undu
Blender motor burn aand quality yedde ittji.,negative,blender motor burn aand quality yedde ittji
ayena acting tood yank goosebumps battend,positive,ayena acting tood yank goosebumps battend
undu jokes baji booring ittend telike boidiji,negative,undu jokes baji boring ittend telike boidiji
Mall d shopping experience okay okay ittnd crowd jasti aand. ,neutral,mall d shopping experience okay okay ittnd crowd jasti aand
Sofa cleaning okay okay ittnd stains chur chur nanala itta. ,neutral,sofa cleaning okay okay ittnd stains chur chur nanala itta
song da energy matra next level undu,positive,song da energy matra next level undu
bgm matra mast enegetic undu,positive,bgm matra mast enegetic undu
Toy gun battery mast weak ittnd kelav days d ye stop  aand. ,negative,toy gun battery mast weak ittnd kelav days d ye stop  aand
"dialouges realistic ithend, yedde feel and good",positive,dialouges realistic ithend yedde feel and good
acting matra flop,negative,acting matra flop
"Movie da climax yedde strong ittind, audience poora clap maltonditter. ",positive,movie da climax yedde strong ittind audience poora clap maltonditter
just ok ok feel undu,neutral,just ok ok feel undu
undu script baji booring ittend pottu story,negative,undu script baji boring ittend pottu story
Video call da quality mast clear ittnd sound quality la yedde crisp ittnd. ,positive,video call da quality mast clear ittnd sound quality la yedde crisp ittnd
"camera work saku ithend, not wow",neutral,camera work saku ithend not wow
Durga Puja pandal decoration mast grand ittnd atmosphere mast festive ittnd. ,positive,durga puja pandal decoration mast grand ittnd atmosphere mast festive ittnd
Racing game speed thrilling ittnd controls la easy itta. ,positive,racing game speed thrilling ittnd controls la easy itta
"graphics yedde undu, realistic undu",positive,graphics yedde undu realistic undu
Passport office service mast smooth ittnd staff la yedde cooperative itter.,positive,passport office service mast smooth ittnd staff la yedde cooperative itter
camera shake and headache and,negative,camera shake and headache and
nanala chur depth potod storyline,negative,nanala chur depth potod storyline
"movie mast drag malther, patience test and",negative,movie mast drag malther patience test and
Tournament schedule mast confusing ittnd players miss ayer.,negative,tournament schedule mast confusing ittnd players miss ayer
ninna editing skills matra super undya,positive,ninna editing skills matra super undya
"music album yedde ithend, playlist eg add malpuve",positive,music album yedde ithend playlist eg add malpuve
Chocolate flavour mast rich ittnd jokul yedde enjoy malter. ,positive,chocolate flavour mast rich ittnd jokul yedde enjoy malter
Fitness tracker mast accurate ittnd battery yedde last apund. ,positive,fitness tracker mast accurate ittnd battery yedde last apund
netta dialogue chur booring undu,negative,netta dialogue chur boring undu
Instant noodles okay okay itta spice level normal ittnd. ,neutral,instant noodles okay okay itta spice level normal ittnd
College canteen d yedde food tikkund rate la mast reasonable und. ,positive,college canteen d yedde food tikkund rate la mast reasonable und
Ice cream da taste okay okay ittnd aat dala khaas ittji. ,neutral,ice cream da taste okay okay ittnd aat dala khaas ittji
Bank queue mast udda ittnd service la delay aand.,negative,bank queue mast udda ittnd service la delay aand
College fest da events okay okay itta anda crowd da energy yedde ittnd.,neutral,college fest da events okay okay itta anda crowd da energy yedde ittnd
"visuals colorful ithend, eye treat and",positive,visuals colorful ithend eye treat and
Food stall da hygiene narakka ittnd yenk illag battd stomach upset aand.,negative,food stall da hygiene narakka ittnd yenk illag battd stomach upset aand
just okok vibes undu,neutral,just ok ok vibes undu
movie full cringe nibba nibbi nagaleg,negative,movie full cringe nibba nibbi nagaleg
Bike taxi service okay ittnd helmet onchoor old aand. ,neutral,bike taxi service okay ittnd helmet onchoor old aand
Puzzle game design okay okay ittnd difficulty level average ittnd. ,neutral,puzzle game design okay okay ittnd difficulty level average ittnd
Flight da staff mast kind itter food service la bega bega malter. ,positive,flight da staff mast kind itter food service la bega bega malter
heroine na dance steps super,positive,heroine na dance steps super
yank watch malpanaga chur headache and,negative,yank watch malpanaga chur headache and
Online app interface yedde easy ittnd aithottu navigation la yedde smooth undu.,positive,online app interface yedde easy ittnd aithottu navigation la yedde smooth undu
timepass malpre ok ,neutral,timepass malpre ok
Plumber na work yedde neat ittnd leakage pakka solve malt korye. ,positive,plumber na work yedde neat ittnd leakage pakka solve malt korye
Hospital cafeteria da food yedde ittji taste baji narakka ittnd. ,negative,hospital cafeteria da food yedde ittji taste baji narakka ittnd
Rental house condition okay okay ittnd paint chur old aad ittnd.,neutral,rental house condition okay okay ittnd paint chur old aad ittnd
TV news coverage neat ittnd information la yedde clear ittnd.,positive,tv news coverage neat ittnd information la yedde clear ittnd
action scene tood goosebumps battend,positive,action scene tood goosebumps battend
Toy drum noise jasti ittnd headache avareg start aand. ,negative,toy drum noise jasti ittnd headache avareg start aand
pacing chur slow undu,negative,pacing chur slow undu
Bus seats yedde ittja smell barond ittnd. ,negative,bus seats yedde ittja smell barond ittnd
song matra supper undu crazy,positive,song matra super undu crazy
acting matra alna supper next level panoli,positive,acting matra alna super next level panoli
editing clumsy ithend flow ijji,negative,editing clumsy ithend flow ijji
undu just copy paste a andh,negative,undu just copy paste a andh
yenk mast connect and story votueg,positive,yenk mast connect and story votueg
"comedy flat ithend, telpare boiduji",negative,comedy flat ithend telpare boiduji
video matra creative undu,positive,video matra creative undu
screenplay antu weak undu,negative,screenplay antu weak undu
"villian presence moderate ithend, ok ok",neutral,villian presence moderate ithend ok ok
"App user interface easy iitnd , dala confusion ijjji.",positive,app user interface easy iitnd  dala confusion ijjji
song da voice matra mast enjoyable undu,positive,song da voice matra mast enjoyable undu
hero da entry matra saik undu,positive,hero da entry matra saik undu
College fest yedde gammath aand.,positive,college fest yedde gammath aand
team dagul matra mast efforts padyer,positive,team dagul matra mast efforts padyer
Society gym average ittnd kali kelav equipments matr itta.,neutral,society gym average ittnd kali kelav equipments matr itta
storyline matra neutral undu,neutral,storyline matra neutral undu
Delivery speed okay okay ittnd aath fast la ijji slow la ijji. ,neutral,delivery speed okay okay ittnd aath fast la ijji slow la ijji
nett kali cringe ye ippun,negative,nett kali cringe ye ippun
Ice cream shop d mast crowd ittnd aik mast porth wait maltha. ,negative,ice cream shop d mast crowd ittnd aik mast porth wait maltha
